Country Code,Country,Year,PV cumulative capacity (MW),Last year's PV cumulative capacity (MW),PV added capacity (MW),Solar PV Module Cost (2019 US$ per W),Population,Land area (km^2),Urban land area (km^2),Rural land area (km^2),Agricultural land (km^2),Forest area (km^2),Public Investments in solar energy (2019 million USD),KOFGI,GDP (current US$),GNI (current US$),Access to electricity (% of population),Primary education,Secondary education,Tertiary education,"Average Theoretical potential (GHI, kWh/m2/day), long-term",Research and development expenditure (% of GDP),Investment in energy with private participation (current US$),Gini index (World Bank estimate),Ease of doing business rank (1=most business-friendly regulations),Duration of compulsory education (years),Labor force,Total unemployment,"Agriculture, forestry, and fishing, value added (current US$)","Manufacturing, value added (current US$)","Industry (including construction), value added (current US$)",electricity net generation (billion kWh),electricity net consumption (billion kWh),nuclear electricity net generation (billion kWh),fossil fuels electricity net generation (billion kWh),Cloud coverage (%),Daylight hours (min/day),Precipitation,Snowfall (mm/h),Temperature (C)
AFG,Afghanistan,2000,0,,,4.879966188,20779957,652860,,,377530,12084.4,,24.11817169,,,,4354976.2307,,,5.49,,,,,6,4955262,535465.59983,,,,0.467,0.53431,0,0.155,23.37240155,730.28024218,0.025368064,0.0110421412,12.515156383
AFG,Afghanistan,2001,0,0,0,4.773879966,21606992,652860,,,377530,12084.4,0.1,24.11292458,,,,4512168.6434,2662979.7114,,5.49,,,,,6,5169671,558789.73942,,,,0.592,0.65056,0,0.094,22.739047692,730.45062597,0.0234920886,0.0097519746,13.3448854
AFG,Afghanistan,2002,0,0,0,4.031276416,22600774,652860,,,377530,12084.4,,24.54661369,4055179566,,,15591561.362,,,5.49,,,,,6,5437894,612143.72595,1566430378,763296400.3,965543405.1,0.687,0.73891,0,0.132,26.8584363,730.44754976,0.0353971407,0.0129096324,12.98209961
AFG,Afghanistan,2003,0,0,0,3.978233305,23680871,652860,,,379100,12084.4,,25.7316246,4515558808,,,22108978.029,2971686.4789,284724.58604,5.49,,1580000,,,6,5735551,638997.72487,1689670423,764207132.4,1025522428,0.939,0.97327,0,0.309,27.840919667,730.44449531,0.0406759569,0.0160005568,12.415751724
AFG,Afghanistan,2004,0,0,0,4.137362637,24726689,652860,,,379110,12084.4,,28.54304886,5226778809,,,25879896.871,4344004.7274,296564.49654,5.49,,,,,6,6030160,662593.97598,1553454439,917509079.2,1370816289,0.894,0.93142,0,0.329,27.689164608,730.27938101,0.0361980923,0.0149072454,13.161902572
AFG,Afghanistan,2005,0,0,0,4.243448859,25654274,652860,,,379100,12084.4,,30.96878433,6209137625,,22.29526901,25166815,4776007.4064,,5.49,,,,,6,6301944,706889.05911,1931964163,1030605840,1664800141,0.934,0.97362,0,0.344,27.794978042,730.45000055,0.0433529643,0.0161872854,11.899109817
AFG,Afghanistan,2006,0,0,0,4.455621302,26433058,652860,,,379100,12084.4,0.26,31.19706917,6971285595,,28.09996223,26881852.495,7468890.7223,,5.49,,,,,6,6460963,717102.28208,1996295153,1142282594,1966653211,0.837,1.21041,0,0.2,31.042187292,730.44702637,0.0400372396,0.0171375313,13.361329142
AFG,Afghanistan,2007,0,0,0,4.137362637,27100542,652860,,,379100,12084.4,,31.88057327,9747879532,,33.9016037,26811517.384,7721849.4492,,5.49,,,,,6,6591408,744894.99435,2934600240,1729986353,2620448527,0.946,1.48878,0,0.198,26.556376583,730.44407162,0.0394931654,0.0151134544,12.4876807
AFG,Afghanistan,2008,0,0,0,3.447802198,27722281,652860,,,379100,12084.4,,33.87934113,10109305183,,42.4,27938440.441,10588242.785,,5.49,,,,,9,6716593,745071.68903,2516435542,1803410709,2720982977,0.72801,1.4290493,0,0.186,25.764779125,730.27892619,0.0320261931,0.0148159258,12.641182308
AFG,Afghanistan,2009,0.002,0,0.002,2.386939983,28394806,652860,,,379100,12084.4,,34.18689346,12416161049,12380756377,45.52068329,27513544.929,12613080.623,1071898.2668,5.49,,,,,9,6867773,776813.7951,3637624914,1632709858,2718781958,0.9381,2.027433,0,0.162,32.124338917,730.44974595,0.0486447571,0.0189210991,12.268583973
AFG,Afghanistan,2010,0.102,0.002,0.1,2.04475,29185511,652860,,,379110,12084.4,6.52,35.74762344,15856678596,15884609987,42.7,29206439.551,14758310.107,,5.49,,,,,9,7065700,802098.28096,4156046328,1985664762,3353912799,0.9363,2.442759,0,0.185,27.559646833,730.44680475,0.0389728649,0.0122083803,13.34350335
AFG,Afghanistan,2011,0.12,0.102,0.018,1.67725,30117411,652860,,,379100,12084.4,,37.70438385,17805113119,17785698871,43.22201891,29407133.939,15587840.83,1090930.96,5.49,,,,,9,7375529,815290.96828,4227586232,2453400232,4048927678,0.7713,2.957989,0,0.176,29.251164125,730.44385005,0.0411935964,0.016897607,12.928698463
AFG,Afghanistan,2012,16.122,0.12,16.002,0.876416667,31161378,652860,,,379100,12084.4,18.29,37.82860565,19907317066,19938663919,69.1,32249655.94,16708123.118,,5.49,,,,,9,7742558,878083.47181,4855568548,2485644557,4211951754,0.882,3.88916,0,0.144,28.831985875,730.27858393,0.0444874852,0.0193453238,11.55210915
AFG,Afghanistan,2013,16.843,16.122,0.721,0.696333333,32269592,652860,,,379100,12084.4,0.16,37.69411469,20146404996,20216694880,68.98294067,33721216.459,17288476.013,,5.49,,,,,9,8136567,910725.93129,4595528497,2316809831,4118852986,1.1034,4.64119,0,0.2184,27.649979317,730.44942397,0.0389288038,0.0140352512,12.769226602
AFG,Afghanistan,2014,18.363,16.843,1.52,0.6415,33370804,652860,,,379100,12084.4,0.74,37.54029846,20497126770,20494754800,89.5,35346258.254,17547336.83,2746644.2462,5.49,,,,,9,8544021,951974.83691,4537457433,2352575671,4351470983,1.159,4.78822,0,0.159,28.460516292,730.44639372,0.0402484018,0.0147603841,12.225757042
AFG,Afghanistan,2015,18.932,18.363,0.569,0.5965,34413603,652860,,,379100,12084.4,,38.8950119,19134211764,19307190568,71.5,35629959.713,17781490.975,,5.49,,,,,9,8948053,995649.84478,3948215005,2185128132,4233261141,1.1832,4.87974,0,0.1492,32.210939042,730.44333801,0.0460590773,0.0168363936,12.902928113
AFG,Afghanistan,2016,20.17,18.932,1.238,0.5505,35383028,652860,,,379100,12084.4,0.15,37.89083862,18116562465,18297097175,97.7,36262817.473,18277436.071,,5.49,,,,,9,9314885,1039354.8674,4663260071,745350999.3,1896225754,1.2147,5.463,0,0.1547,25.999016308,730.27787938,0.0358956609,0.0113126232,13.702602017
AFG,Afghanistan,2017,22.023,20.17,1.853,0.462166667,36296111,652860,,,379100,12084.4,45.85,37.88500977,18753469630,19000254383,97.7,37085837.754,19470395.387,,5.49,,19000000,,,9,9670662,1081180.0416,4954704011,662076704.1,1885075137,1.26426,5.78734,0,0.17626,26.171639142,730.44869698,0.0380050144,0.0161863878,13.462646481
AFG,Afghanistan,2018,21.555,22.023,-0.468,0.4115,37171922,652860,,,379190,12084.4,43.97,38.94749069,18053228579,18240838102,98.71562195,38657372.37,20602615.476,3600628.6509,5.49,,,,,9,10022144,1117669.542,3979454536,1112110874,2416830294,1.16493,6.07288,0,0.19993,26.203124992,730.44559373,0.0325511347,0.0111127788,13.663603467
AFG,Afghanistan,2019,31.089,21.555,9.534,0.37725,38041757,652860,,,,12084.4,4,38.38572311,18799450743,19098305631,97.7,40590965.684,,,5.49,,190490000,,173,9,10382034,1164552.7548,4845364934,1324079358,2642847910,1.06269,5.91309,0,0.18269,29.930438767,730.44249273,0.0505403483,0.0188434232,12.879498359
AFG,Afghanistan,2020,30.52,31.089,-0.569,,38928341,652860,,,,12084.4,,,20116137326,20304823185,,,,4111813.8155,5.49,,,,,9,9416829,1102710.6797,5395268749,1544166371,2822635859,,,0,,28.193537417,730.27689987,0.0466455452,0.0180251652,12.284754642
ALB,Albania,2000,0,,,4.879966188,3089027,27400,1689.403809,26686.71094,11440,7693,,48.71905899,3480355258,3585007222,100,3218648.439,2195621.0582,479930.06697,4.2,,,,,8,1303495,248029.02704,853223432,150276373.5,675038886.7,4.68336,3.75836,0,0.13536,40.24681375,731.83229543,0.1142742172,0.0089837585,13.200035265
ALB,Albania,2001,0.1,0,0.1,4.773879966,3060173,27400,1689.403809,26686.71094,11390,7705.77,,52.59656906,3922100794,4048094111,100,3150979.628,2219762.6704,486709.18414,4.2,,,,,8,1289947,239607.66505,890950856.2,160768481.1,852498955.9,3.64778,3.54878,0,0.12878,47.164158333,732.05824565,0.1330178028,0.0148724244,13.140556442
ALB,Albania,2002,0.2,0.1,0.1,4.031276416,3051010,27400,1689.403809,26686.71094,11400,7718.54,,56.17189407,4348068242,4457186384,100,3094075.2106,2223226.8438,497663.35983,4.2,,8000000,31.7,,8,1292501,231293.0599,957666991,176816057.5,1004680718,3.64056,4.54556,0,0.16356,53.784456417,732.05422116,0.1457387275,0.0045204768,13.219391767
ALB,Albania,2003,0.2,0.2,0,3.978233305,3039616,27400,1689.403809,26686.71094,11210,7731.31,,55.28856659,5611496257,5762066193,100,3039772.3031,2287111.6023,506316.12946,4.2,,,,,8,1279039,217295.9398,1233309074,231427088.2,1349879571,5.21758,4.11058,0,0.10058,45.104033667,732.05022473,0.1347753258,0.0117292784,13.311960247
ALB,Albania,2004,0.2,0.2,0,4.137362637,3026939,27400,1689.403809,26686.71094,11220,7744.08,,56.83364105,7184685782,7353974653,100,2971788.2138,2264217.2053,602071.48533,4.2,,,,,8,1264823,206292.6246,1475553859,300144345.1,1772143145,5.5426,4.0516,0,0.1316,49.205433917,731.83119167,0.1718300063,0.0123529172,12.846252283
ALB,Albania,2005,0.2,0.2,0,4.243448859,3011487,27400,1689.403809,26686.71094,10770,7756.85,0.43,56.70568466,8052073539,8214104794,100,3031845.8748,2346231.2513,698358.73926,4.2,,,30.6,,8,1248964,199459.55417,1517438117,356372214.8,2019589407,5.3848,3.7388,0,0.0658,49.547516083,732.05744988,0.1717343942,0.0220774711,12.207366642
ALB,Albania,2006,0.2,0.2,0,4.455621302,2992547,27400,1689.403809,26686.71094,11200,7769.62,,60.46102524,8896072919,9158292067,100,2928976.6093,2369784.572,797128.94204,4.2,,,,,8,1232873,192698.05126,1575348051,436345733.2,2251420440,5.03842,2.99142,0,0.08742,47.075199583,732.05355522,0.1257554043,0.0127574199,12.465411408
ALB,Albania,2007,0.2,0.2,0,4.137362637,2970017,27400,1689.403809,26686.71094,11190,7782.39,,63.14568329,10677324144,10975296230,100,2861481.4956,2441371.5577,911412.97692,4.2,0.08757,,,,8,1213497,193795.47418,1831547564,565555542,2705669379,2.82768,3.69368,0,0.06768,44.252462167,732.0496828,0.1250454111,0.0080660108,13.490632992
ALB,Albania,2008,0.2,0.2,0,3.447802198,2947314,27400,1689.403809,26686.71094,11810,7795.16,,64.71295929,12881353508,12946374022,100,2820063.7991,2479430.6008,945875.59152,4.2,0.15412,,30,,8,1192757,155774.06921,2168840426,643783986.1,3241078687,3.8311,4.1251,0,0.0721,45.414344083,731.83060258,0.1277356338,0.0063354081,13.353302675
