,Column 1,1,PV_cum_capacity MW last year,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),PV_cum_capacity MW last year^2,PV_cum_capacity MW last year total_population,PV_cum_capacity MW last year agri_land_area,PV_cum_capacity MW last year tertiary,PV_cum_capacity MW last year electricity net consumption (billion kWh),total_population^2,total_population agri_land_area,total_population tertiary,total_population electricity net consumption (billion kWh),agri_land_area^2,agri_land_area tertiary,agri_land_area electricity net consumption (billion kWh),tertiary^2,tertiary electricity net consumption (billion kWh),electricity net consumption (billion kWh)^2,PV_capacity_additions_MW,H2_1 2,H2_2 2,H2_3 2,H2_4 2,H2_5 2,H1_1 2,H1_2 2,H1_3 2,H1_4 2,H1_5 2,Predicted_PV_capacity_additions_MW,residual,Country,set
0,499,1,60,4087843,14840,2765598.632,16.771772,3600,245270580,890400,165935917.9,1006.30632,1.67E+13,60663590120,1.13E+13,68560370.77,220225600,41041483699,248893.0965,7.65E+12,46383989.7,281.292336,7.7,0.098916144,0.088734079,-0.129361565,0.1983994,-0.106489798,0.13857042,-0.032694339,0.013367943,0.008971463,0.002854737,18.89348856,-11.19348856,Croatia,test
1,1317,1,0,2050671,10130,805832.7226,6.73252,0,0,0,0,0,4.21E+12,20773297230,1.65E+12,13806183.52,102616900,8163085480,68200.4276,6.49366E+11,5425284.922,45.32682555,0,0.10044279,0.090361262,-0.120121522,0.197796851,-0.108854506,0.138540433,-0.03213503,0.013398806,0.008960364,0.002747409,2.99250378,-2.99250378,North Macedonia,test
2,637,1,0,72170581,316070,1666620.735,2.09004,0,0,0,0,0,5.21E+15,2.28E+13,1.2E+14,150839401.1,99900244900,5.26769E+11,660598.9428,2.78E+12,3483304.001,4.368267202,0,0.174089163,0.038631354,0.026647614,0.127517391,-0.048783362,0.137175954,-0.02252643,0.011625865,0.006514057,-0.000593902,-44.51140733,44.51140733,Ethiopia,test
3,1427,1,0,38151603,156190,27588441.96,127.498,0,0,0,0,0,1.46E+15,5.96E+12,1.05E+15,4864253079,24395316100,4.31E+12,19913912.62,7.61E+14,3517471173,16255.74,0,0.121162237,0.049476609,-0.170725627,0.14804651,-0.035342811,0.138103976,-0.034483959,0.01171505,0.007464549,0.001910064,41.37289755,-41.37289755,Poland,test
4,334,1,3.103,10488002,20330,386071.7548,0.27112,9.628609,32544270.21,63083.99,1197980.655,0.84128536,1.1E+14,2.13221E+11,4.05E+12,2843507.102,413308900,7848838775,5511.8696,1.49051E+11,104671.7742,0.073506054,1,0.102323733,0.087518437,-0.112221227,0.198548666,-0.110073553,0.138524117,-0.031662133,0.013422143,0.008958737,0.002674298,-0.317097616,1.317097616,Burundi,test
5,773,1,0.026,746477,11518.67,90796.23366,0.4794,0.000676,19408.402,299.48542,2360.702075,0.0124644,5.57228E+11,8598422226,67777300114,357861.0738,132679758.6,1045851853,5522.050398,8243956047,43527.71442,0.22982436,0,0.102788775,0.090107966,-0.114023119,0.200037208,-0.11016941,0.138573169,-0.03179634,0.013449424,0.008978086,0.002714074,-2.919579944,2.919579944,Guyana,test
6,1698,1,48.6,67518379,210600,35282201.01,145.9098494,2361.96,3281393219,10235160,1714714969,7091.218681,4.56E+15,1.42E+13,2.38E+15,9851596512,44352360000,7.43E+12,30728614.28,1.24E+15,5148020636,21289.68415,30.1,0.129004745,0.031036487,-0.174798001,0.144207675,-0.020761472,0.138100017,-0.034629655,0.011447922,0.007227877,0.00175964,56.35838732,-26.25838732,Thailand,test
7,240,1,0,648744,5930,32690.21038,0.808,0,0,0,0,0,4.20869E+11,3847051920,21207577843,524185.152,35164900,193852947.6,4791.44,1068649855,26413.68999,0.652864,0.131,0.100852954,0.091062561,-0.117048188,0.200948556,-0.111478338,0.138585197,-0.031988615,0.013478189,0.009024066,0.002778636,-0.131429592,0.262429592,Bhutan,test
8,1646,1,5,9148092,31370,6846167.895,135.91644,25,45740460,156850,34230839.47,679.5822,8.37E+13,2.86976E+11,6.26E+13,1243376097,984076900,2.14764E+11,4263698.723,4.69E+13,930506767.9,18473.27866,1,0.065225741,0.103995708,-0.199606607,0.116965921,-0.070089099,0.13715179,-0.036043127,0.011745934,0.007754398,0.002302833,108.2333493,-107.2333493,Sweden,test
9,1835,1,0,14465148,238360,595389.8625,10.54892,0,0,0,0,0,2.09E+14,3.45E+12,8.61E+12,152591689,56815489600,1.41917E+11,2514440.571,3.54489E+11,6280720.028,111.2797132,0,0.166732506,0.058168895,-0.003992188,0.140363245,-0.054127949,0.137544375,-0.024559777,0.011901986,0.006848505,-8.38E-06,-48.01053612,48.01053612,Zambia,test
10,840,1,3444.008,1310152392,1796740,350714557,1084.231,11861191.1,4.51E+12,6187986934,1.21E+12,3734100.238,1.72E+18,2.35E+15,4.59E+17,1.42E+12,3.23E+12,6.3E+14,1948081207,1.23E+17,3.80256E+11,1175556.861,1920.976,0.144146179,-0.533373691,-0.696011962,0.091409204,0.386731596,0.135832433,-0.065457059,0.00331035,0.002532759,0.006365579,3319.56309,-1398.58709,India,test
11,1274,1,69,16615394,18723,10586667.55,110.05384,4761,1146462186,1291887,730480061,7593.71496,2.76E+14,3.1109E+11,1.76E+14,1828587913,350550729,1.98214E+11,2060538.046,1.12E+14,1165103417,12111.8477,21,0.070911376,0.094149686,-0.200225979,0.152250923,-0.081153728,0.137806814,-0.036441575,0.012363705,0.008355107,0.002899338,113.2970095,-92.29700947,Netherlands,test
