,code,Country,PV_cum_capacity MW last year,PV_added_capacity_MW,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),Code,PV_capacity_additions_MW,Predicted_PV_capacity_additions_MW,set,residual
0,AFG,Afghanistan,0,0,23680871,379100,284724.586,0.97327,1,,,,
1,AFG,Afghanistan,0,0,24726689,379110,296564.4965,0.93142,1,,,,
2,AFG,Afghanistan,0,0.002,28394806,379100,1071898.267,2.027433,1,,,,
3,AFG,Afghanistan,0.102,0.018,30117411,379100,1090930.96,2.957989,1,,,,
4,AFG,Afghanistan,16.843,1.52,33370804,379100,2746644.246,4.78822,1,,,,
5,AFG,Afghanistan,22.023,-0.468,37171922,379190,3600628.651,6.07288,1,,,,
6,ALB,Albania,0,0.1,3060173,11390,486709.1841,3.54878,3,,,,
7,ALB,Albania,0.1,0.1,3051010,11400,497663.3598,4.54556,3,,,,
8,ALB,Albania,0.2,0,3039616,11210,506316.1295,4.11058,3,,,,
9,ALB,Albania,0.2,0,3026939,11220,602071.4853,4.0516,3,,,,
10,ALB,Albania,0.2,0,3011487,10770,698358.7393,3.7388,3,,,,
11,ALB,Albania,0.2,0,2992547,11200,797128.942,2.99142,3,,,,
12,ALB,Albania,0.2,0,2970017,11190,911412.9769,3.69368,3,,,,
13,ALB,Albania,0.2,0,2947314,11810,945875.5915,4.1251,3,,,,
14,ALB,Albania,0.2,0.1,2927519,12013,977368.362,4.35187,3,,,,
15,ALB,Albania,0.3,0.1,2913021,12013,1297729.053,3.39577,3,,,,
16,ALB,Albania,0.4,0.164,2905195,12010,1449073.506,5.44294,3,0.164,-86.65646538,test,86.82046538
17,ALB,Albania,0.564,0.115,2900401,12013,1718545.901,4.65865,3,,,,
18,ALB,Albania,0.679,0.079,2895092,11873,1871226.21,5.90741,3,,,,
19,ALB,Albania,0.758,0.116,2889104,11742.9,1900538.32,4.96176,3,,,,
20,ALB,Albania,0.874,0.176,2880703,11743,1786255.421,5.04005,3,,,,
21,ALB,Albania,1.05,-0.05,2876101,11817,1679121.006,5.67858,3,,,,
22,ALB,Albania,1,0,2873457,11691.81,1648653.408,6.11975,3,0,-78.13057564,test,78.13057564
23,ALB,Albania,1,0,2866376,11740.81,1575398.384,6.43948,3,0,-80.71827998,test,80.71827998
24,DZA,Algeria,0,0,31451513,401090,4923359.946,20.64764,37,,,,
25,DZA,Algeria,0,0,31855110,398550,5533602.289,21.62354,37,,,,
26,DZA,Algeria,0,0,32264159,399057,5994019.172,23.61164,37,0,-189.5332706,test,189.5332706
