Index,PV_cum_capacity MW last year,total_population,agri_land_area,tertiary,electricity net consumption (billion kWh),PV_cum_capacity MW last year^2,PV_cum_capacity MW last year total_population,PV_cum_capacity MW last year agri_land_area,PV_cum_capacity MW last year tertiary,PV_cum_capacity MW last year electricity net consumption (billion kWh),total_population^2,total_population agri_land_area,total_population tertiary,total_population electricity net consumption (billion kWh),agri_land_area^2,agri_land_area tertiary,agri_land_area electricity net consumption (billion kWh),tertiary^2,tertiary electricity net consumption (billion kWh),electricity net consumption (billion kWh)^2,PV_added_capacity_MW,H2_1,H2_2,H2_3,H2_4,H2_5,H1_1,H1_2,H1_3,H1_4,H1_5,capacity_pred,set
1728,2.896,10846993,99220,3891595.007,14.01578,8.386816,31412891.73,287341.12,11270059.14,40.58969888,1.18E+14,1.08E+12,4.22E+13,152029067.5,9844608400,3.86E+11,1390645.692,1.51E+13,54543739.47,196.442089,2.675,-0.162386146,-0.234874164,0.054025332,-0.263642449,0.027085819,-0.08478981,0.614965756,-0.126634395,-0.016001569,-0.375002292,-0.094348912,train
6,0,3060173,11390,486709.1841,3.54878,0,0,0,0,0,9.36E+12,34855370470,1.49E+12,10859880.74,129732100,5543617607,40420.6042,2.37E+11,1727223.818,12.59383949,0.1,-0.15131143,-0.219909818,0.077422383,-0.254908374,0.052073263,-0.073740848,0.615295078,-0.133765334,-0.017360909,-0.379377208,5.059989111,train
101,0.3,102565,20,38729.70431,0.80724,0.09,30769.5,6,11618.91129,0.242172,10519579225,2051300,3972312123,82794.5706,400,774594.0862,16.1448,1499989996,31264.16651,0.651636418,0.7,-0.147560145,-0.217263671,0.081398284,-0.253231117,0.05529978,-0.071287215,0.614951791,-0.135111388,-0.017579052,-0.380627001,5.78010728,train
1610,22,42921895,290710,28367216.37,235.22968,484,944281690,6395620,624078760.1,5175.05296,1.84E+15,1.25E+13,1.22E+15,10096503626,84512304100,8.25E+12,68383620.27,8.05E+14,6672811229,55333.00235,11,-0.31174773,-0.338292947,-0.009606046,-0.31201674,-0.013437105,-0.150577505,0.651857725,-0.100168704,-0.014645158,-0.313965219,117.8544688,train
1164,19,110815272,1038080,28936117.1,204.56938,361,2105490168,19723520,549786224.9,3886.81822,1.23E+16,1.15E+14,3.21E+15,22669411488,1.08E+12,3.00E+13,212359382,8.37E+14,5919443535,41848.63123,0,-0.334225712,-0.359722652,-0.194955134,-0.355494052,-0.192653759,-0.21788526,0.613438746,-0.04353117,-0.000881622,-0.321473127,-20.92336207,train
125,0.1,8947243,47573,1705139.682,13.48152,0.01,894724.3,4757.3,170513.9682,1.348152,8.01E+13,4.26E+11,1.53E+13,120622435.4,2263190329,81118610092,641356.351,2.91E+12,22987874.73,181.7513815,0,-0.160819872,-0.226847075,0.06667427,-0.259058905,0.042914684,-0.08019871,0.616021124,-0.130059541,-0.016750912,-0.376146076,2.374066489,train
1830,0,21892149,235170,2372060.285,4.64624,0,0,0,0,0,4.79E+14,5.15E+12,5.19E+13,101716178.4,55304928900,5.58E+11,1092656.261,5.63E+12,11021161.38,21.58754614,0.946,-0.158710484,-0.234941224,0.020725938,-0.26759954,-0.005005967,-0.094508336,0.605268063,-0.11693913,-0.01332174,-0.379293505,4.262241374,train
1083,25.104,29468923,80593,11514858.23,126.73368,630.210816,739787843,2023206.672,289069001,3181.522303,8.68E+14,2.37E+12,3.39E+14,3734705057,6495231649,9.28E+11,10213847.47,1.33E+14,1459320358,16061.42565,72.02,-0.244377601,-0.27420756,0.049921752,-0.281496269,0.041026061,-0.111570389,0.639153086,-0.119973762,-0.017193848,-0.342863722,50.98744286,train
639,0,76346310,335910,2145361.847,2.58428,0,0,0,0,0,5.83E+15,2.56E+13,1.64E+14,197300242,1.13E+11,7.21E+11,868085.4948,4.60E+12,5544215.714,6.678503118,0,-0.195225644,-0.250686539,-0.029699191,-0.288277421,-0.032689786,-0.121168878,0.603586627,-0.102614046,-0.010216217,-0.372700671,18.23034923,train
549,571,5643475,26526.31,4572856.056,32.25744,326041,3222424225,15146523.01,2611100808,18418.99824,3.18E+13,1.50E+11,2.58E+13,182044056.2,703645122.2,1.21E+11,855670.8532,2.09E+13,147508629.9,1040.542435,36,-0.13807858,-0.261661179,0.104269349,-0.297026243,0.074072472,-0.056923602,0.632911495,-0.159103414,-0.022090966,-0.37860307,115.454017,train
777,0.173,752029,11768.8,87541.59299,0.605333,0.029929,130101.017,2036.0024,15144.69559,0.104722609,5.66E+11,8850478895,65833816635,455227.9707,138504653.4,1030259500,7124.04301,7663530503,52991.81511,0.366428041,0.758,-0.147355389,-0.217776923,0.078551025,-0.25369221,0.052373791,-0.072138029,0.614281382,-0.134312319,-0.017365023,-0.380842939,5.378958887,train
1505,0.35,22456645,1737980,6043862.26,136.818,0.1225,7859825.75,608293,2115351.791,47.8863,5.04E+14,3.90E+13,1.36E+14,3072473256,3.02E+12,1.05E+13,237786947.6,3.65E+13,826909146.7,18719.16512,0,-0.307625731,-0.295134946,-0.204066899,-0.306059553,-0.327653012,-0.233424366,0.579066205,-0.000520747,0.004039064,-0.319616239,45.74932046,train
